UTC+0,London-N,Casablanca-N,Abidjan-N,Accra-S,Dakar-S,Dublin-N,Lisbon-N,,,,,,
UTC+1,Lagos-S,Kinshasa-S,Madrid-N,Berlin-N,Algiers-N,Paris-N,Rome-N,,,,,,
UTC+2,Cairo-N,Johannesburg-S,Kyiv-N,Khartoum-N,Bucharest-N,Lusaka-S,Athens-N,,,,,,
UTC+3,Istanbul-N,Moscow-N,Baghdad-N,Riyadh-N,Dar es Salaam-S,Nairobi-S,Addis Ababa-N,,,,,,
UTC+4,Dubai-S,Baku-N,Muscat-N,Tbilisi-N,Yerevan-N,Samara-N,#N/A,Karachi-N,Lahore-N,Tashkent-N,Ekaterinburg-N,Ashgabat-N,
UTC+5,,,,,,,,,,,,,
UTC+6,Dhaka-N,Chittagong-N,Almaty-N,Astana-N,Bishkek-N,,,,,,,,
UTC+7,Jakarta-S,Ho Chi Minh-N,Bangkok-N,Hanoi-N,Phnom Penh-N,Krasnoyarsk-N,,,,,,,
UTC+8,Shanghai-N,Beijing-N,Guangzhou-N,Manila-N,Bali-S,Taipei-N,#N/A,Perth-S,,,,,
UTC+9,Tokyo-N,Seoul-N,Busan-N,Pyongyang-N,Osaka-N,,,,,,,,
UTC+10,Sydney-S,Melbourne-S,Brisbane-S,Vladivostok-N,Port Moresby-S,,,,,,,,
UTC+11,Nouméa-S,Honiara-S,Magadan-N,,,,,,,,,,
UTC+12,Auckland-S,Wellington-S,Suva-S,,,,,,,,,,
UTC-11,Pago Pago-S,,,,,,,,,,,,
UTC-10,Honolulu-N,,,,,,,,,,,,
UTC-9,Anchorage-N,,,,,,,,,,,,
UTC-8,Los Angeles-N,Tijuana-N,San Francisco-N,Seattle-N,Vancouver-N,,,,,,,,
UTC-7,Phoenix-N,Ciudad Juárez-N,Calgary-N,Edmonton-N,Denver-N,,,,,,,,
UTC-6,Mexico City-N,Chicago-N,Houston-N,Dallas-N,Guatemala-N,San Salvador-N,,,,,,,
UTC-5,Lima-S,New York City-N,Bogotá-N,Toronto-N,Havana-N,Montreal-N,,,,,,,
UTC-4,Santiago-S,Caracas-N,Manaus-S,Santa Cruz-S,Santo Domingo-N,La Paz-S,,,,,,,
UTC-3,São Paulo-S,Rio-S,Buenos Aires-S,Salvador-S,Montevideo-S,,,,,,,,
UTC-2,Noronha-S,,,,,,,,,,,,
UTC-1,Praia-N,Ponta Delgada-N,,,,,,,,,,,
